reference,transfer_to_source,status,payment_method_code,updated_at
b3oy-xoom,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 00:40:27
nwvb-lyez,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 00:42:57
c2p3-dmbr,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 02:04:57
j3a6-dayt,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 02:45:27
qaaa-hr3y,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 04:45:57
omv4-q9k8,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 05:13:27
j3a6-53bq,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 05:15:27
x8fi-jrlm,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 05:26:57
ztoz-jlhr,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 05:35:57
pisi-fptw,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 05:51:57
r3c0-b6np,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 05:52:27
trd9-z19b,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 05:52:57
yj30-xvr0,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 05:53:27
wp37-dvcq,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 05:59:27
ca8p-ip4i,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:04:57
tk3v-9bqd,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:05:27
unyx-9ihw,False,canceled,yemekpay_creditcard,2024-05-04 06:06:54
wzr9-bdvb,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:07:27
j3a6-ywcf,False,canceled,yemekpay_creditcard,2024-05-04 06:08:59
xf4z-8rs8,False,canceled,yemekpay_creditcard,2024-05-04 06:09:22
h1a0-idfb,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:10:27
kqfe-hlsp,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:11:27
p7sm-839x,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:12:27
iyw4-5l2h,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:18:27
j3a6-ofyd,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:19:27
ca8p-bt67,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:20:57
xgex-gbcb,False,canceled,yemekpay_creditcard,2024-05-04 06:23:17
xe9o-ebr7,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:23:27
kqfe-y5hk,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:24:57
iyw4-yqny,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:25:27
dkv6-lmid,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:26:57
y8gm-1uvn,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:27:57
k3rg-nryh,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:27:57
b038-krn6,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:27:57
h962-kc68,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:30:57
ak90-t65p,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:31:57
gtxa-jxtt,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:34:57
jris-p56b,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:40:57
lygz-clq2,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:41:56
ox5o-5b8x,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:42:57
xgex-i63g,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:49:57
tthe-v4xy,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:49:57
dyof-qalt,False,partially_refunded_to_source,craftgate_edenred,2024-05-04 06:50:57
kqfe-1utt,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:54:57
t3h6-gra4,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:54:57
e998-9apr,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:55:56
wzr9-eevb,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 06:59:27
daiv-mmkg,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 07:00:57
k9ju-zucn,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 07:02:27
irna-78id,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 07:05:57
oqp8-aifc,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 07:09:56
cygf-1gjb,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 07:10:57
t478-u3gm,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 07:11:57
fitp-3vi8,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 07:14:27
ixcu-orb0,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 07:15:57
v9nh-qtew,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 07:17:57
y33m-sff5,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 07:17:57
o5ym-v1xk,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 07:18:56
