reference,transfer_to_source,status,payment_method_code,updated_at
zshe-khsk,False,canceled,craftgate_edenred,2024-05-05 07:24:08
auw0-nekp,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:24:12
argb-gtmc,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:24:27
lchi-rzq2,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:24:27
bsya-3vux,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:24:36
brxj-3wtf,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:24:57
fnux-69bu,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:24:57
mnlr-guns,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:24:57
i3qu-afaz,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:25:14
o897-ayrq,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:25:14
wuqq-mpt2,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:25:14
qkr4-juo6,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:25:14
wuqq-madx,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:25:14
nww5-vsce,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:25:20
irna-20fv,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:25:26
y8np-moi8,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:25:56
zavu-h98u,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:25:57
ofkh-f39v,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:26:10
row1-v2f3,False,canceled_to_wallet,balance,2024-05-05 07:26:14
wzng-q8tx,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:26:27
fx4m-d7f6,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:26:33
guuv-9ycn,False,canceled,yemekpay_creditcard,2024-05-05 07:26:46
t3h6-zp6v,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:26:49
hrb9-u0tr,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:26:57
jhkj-51b6,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:26:57
vn33-uk23,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:27:26
bh0z-u3ot,False,canceled,yemekpay_creditcard,2024-05-05 07:27:27
tpbm-8psr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:27:27
dv4j-h8gm,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:27:27
b52g-728v,False,canceled,yemekpay_creditcard,2024-05-05 07:27:38
cygf-wba7,False,canceled,yemekpay_creditcard,2024-05-05 07:27:40
b038-ki24,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:27:56
kkx7-ymsu,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:27:56
va81-e1ax,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:28:00
j8jo-h2xf,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:28:02
g90j-1jvf,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:28:27
z9aa-7z3m,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:28:27
moxt-l35j,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:28:27
vh95-roxv,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:28:35
dx7e-vy43,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:28:40
kkx7-swrc,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:28:57
kkx7-mj0u,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:28:57
t92g-4fj9,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:28:57
z5q4-xcyr,False,canceled,yemekpay_creditcard,2024-05-05 07:29:01
py73-x9zr,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:29:01
zy51-jdyo,False,canceled,yemekpay_creditcard,2024-05-05 07:29:13
f084-a6ar,False,canceled,yemekpay_creditcard,2024-05-05 07:29:24
nh5d-ttf1,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:29:26
lom1-9yrc,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:29:27
j7ik-raag,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-05 07:29:27
k9ju-qacx,False,canceled,yemekpay_creditcard,2024-05-05 07:29:33
usll-jebv,False,partially_refunded_to_wallet,yemekpay_creditcard,2024-05-05 07:29:57
qo84-6frv,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:30:02
rzil-40xj,False,canceled,yemekpay_creditcard,2024-05-05 07:30:05
s6dg-bjw8,False,canceled,yemekpay_creditcard,2024-05-05 07:30:22
k3qh-szes,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:30:22
o407-sp71,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:30:22
wz8o-poyd,False,canceled_to_wallet,yemekpay_creditcard,2024-05-05 07:30:23
