reference,transfer_to_source,status,payment_method_code,updated_at
nwvb-dobc,False,canceled,yemekpay_creditcard,2024-05-04 11:57:43
mkmv-8eiv,False,canceled,yemekpay_creditcard,2024-05-04 12:14:21
t27t-82gu,False,canceled,yemekpay_creditcard,2024-05-04 12:14:11
tujt-8uym,False,canceled,yemekpay_creditcard,2024-05-07 00:43:12
kqhw-ie8n,False,canceled,yemekpay_creditcard,2024-05-04 13:16:26
zhvn-td81,False,canceled,yemekpay_creditcard,2024-05-04 12:14:28
kqhw-f46l,False,canceled,yemekpay_creditcard,2024-05-04 13:16:46
ocam-2htt,False,canceled,yemekpay_creditcard,2024-05-04 12:14:24
opuu-4u84,False,canceled,yemekpay_creditcard,2024-05-04 12:01:13
saou-8xmp,False,canceled,yemekpay_creditcard,2024-05-04 14:43:00
mkpo-sz48,False,canceled,yemekpay_creditcard,2024-05-04 12:06:15
unyx-9ihw,False,canceled,yemekpay_creditcard,2024-05-04 06:06:54
j3a6-yf65,False,canceled,yemekpay_creditcard,2024-05-04 12:15:55
j3a6-ywcf,False,canceled,yemekpay_creditcard,2024-05-04 06:08:59
owsf-395v,False,canceled,yemekpay_creditcard,2024-05-04 12:06:26
iz9m-8smn,False,canceled,yemekpay_creditcard,2024-05-04 12:15:49
zex6-9dk8,False,canceled,yemekpay_creditcard,2024-05-04 12:15:52
loa5-izif,False,canceled,yemekpay_creditcard,2024-05-04 12:15:44
xf4z-8rs8,False,canceled,yemekpay_creditcard,2024-05-04 06:09:22
qiqd-nwkv,False,canceled,yemekpay_creditcard,2024-05-07 09:37:50
tv7z-i39n,True,canceled,yemekpay_creditcard,2024-05-04 18:44:36
n05p-yube,False,canceled,yemekpay_creditcard,2024-05-04 12:16:04
mhaq-ogrt,False,canceled,yemekpay_creditcard,2024-05-04 12:16:42
zrkw-tzdm,False,canceled,yemekpay_creditcard,2024-05-04 12:15:48
f0hj-gnag,False,canceled,yemekpay_creditcard,2024-05-04 12:27:56
rvod-cwte,False,canceled,yemekpay_creditcard,2024-05-06 20:38:09
vuxy-in10,False,canceled,yemekpay_creditcard,2024-05-04 12:20:36
xgex-gbcb,False,canceled,yemekpay_creditcard,2024-05-04 06:23:17
c1dk-n8fp,False,canceled,yemekpay_creditcard,2024-05-05 15:42:51
rp5d-q66s,False,canceled,yemekpay_creditcard,2024-05-04 12:21:35
y1ly-04de,False,canceled,yemekpay_creditcard,2024-05-06 08:56:31
pm5t-hll9,False,canceled,yemekpay_creditcard,2024-05-04 12:19:45
oj3b-cxrh,False,canceled,yemekpay_creditcard,2024-05-06 08:56:04
iz49-g4i5,False,canceled,yemekpay_creditcard,2024-05-04 13:10:22
s1vv-i9ye,False,canceled,yemekpay_creditcard,2024-05-04 12:17:04
bxxg-jhc8,False,canceled,yemekpay_creditcard,2024-05-05 15:07:48
p1f3-y5ej,False,canceled,yemekpay_creditcard,2024-05-04 12:18:14
gxaj-a7es,False,canceled,yemekpay_creditcard,2024-05-04 21:02:10
qw5w-i9o1,False,canceled,yemekpay_creditcard,2024-05-04 12:17:14
w4z0-tk15,False,canceled,yemekpay_creditcard,2024-05-04 12:17:00
fpwn-yj3a,False,canceled,yemekpay_creditcard,2024-05-04 10:58:48
jnvy-7sta,False,canceled,yemekpay_creditcard,2024-05-04 12:17:00
